,address,daesil_price,sukbak_price
0,Gangnam-gu,26200.0,58029.230769230766
1,Gangdong-gu,19097.5,36322.5
2,Gangbuk-gu,18246.478873239437,33140.84507042253
3,Gangseo-gu,19803.92156862745,37176.470588235294
4,Gwanak-gu,20185.185185185186,39611.11111111111
5,Gwangjin-gu,21833.333333333332,43527.77777777778
6,Guro-gu,22250.0,42875.0
7,Geumcheon-gu,23086.444444444445,47388.88888888889
8,Nowon-gu,21458.333333333332,47916.666666666664
9,Dobong-gu,24285.714285714286,47857.142857142855
10,Dongdaemun-gu,20312.5,38197.916666666664
11,Dongjak-gu,19500.0,40500.0
12,Mapo-gu,20900.0,42189.666666666664
13,Seodaemun-gu,20531.052631578947,41600.0
14,Seocho-gu,23966.666666666668,49000.0
15,Seongdong-gu,20333.333333333332,38461.53846153846
16,Seongbuk-gu,20608.695652173912,39169.565217391304
17,Songpa-gu,21685.185185185186,43796.2962962963
18,Yangcheon-gu,19166.666666666668,38000.0
19,Yeongdeungpo-gu,21199.25925925926,40160.25925925926
20,Yongsan-gu,22521.739130434784,47000.0
21,Eunpyeong-gu,20178.342105263157,39869.28947368421
22,Jongno-gu,20692.326923076922,43512.82692307692
23,Jung-gu,22700.037037037036,53962.96296296296
24,Jungnang-gu,19918.91891891892,38270.27027027027
